Key,Prods UPC,Prods Moco,Prods Model Name,Prods Model Code,Prods Model Family,Prods Brand,Prods Category 1,Prods Category 2,Prods Category 3,Prods Business Theme,Prods Business Story,Prods Gender,Prods Shape,Prods Size,Prods Lens Color,Prods Le0s Polarized,Prods Lens Technology,Prods Front Color,Prods Frame Technology,Prods Asian Fit,Prods Customizable,Prods E0gravable,Prods Web Exclusive,Prods Release,Prods Lens Correction Type,Prods Roxable,Prods Collection,Prods Rox,Prods Custom
8056597260329,8056597260329,0RB4246__1305B1,RB4246,0RB4246,CLUBMASTER,Ray-Ban,Eyewear,SUN,Lifestyle,Icons,,UNISEX,Round,STD,Dark Grey,0,Solid Color,Black,Acetate,Intertiol,,,,202002,,1,,0,0
8056597047234,8056597047234,0TF2183__8244,TF2183,0TF2183,,Tiffany & Co.,Eyewear,OPTICAL,Luxury-Fashion,,TIFFANY T,FEMALE,Cat Eye,52,,,DEMO LENS,Blue,Acetate,Global,,,,201902,,0,,0,0
8056597064439,8056597064439,0BV2210B__2033,BV2210B,0BV2210B,,Bvlgari,Eyewear,OPTICAL,Luxury-Fashion,,SERPENTI,FEMALE,Cat Eye,55,,,DEMO  LENS,Black,Metal,Intertiol,,,,201902,,0,,0,0
8053672724721,8053672724721,0VO5133S__253248,VO5133S,0VO5133S,,Vogue Eyewear,Eyewear,SUN,Accessible-Fashion,Casual Chic,FOLLOW THE TREND,FEMALE,Phantos,53,,0,Gradient,Clear,Injected,Global,,,,201611,,0,,0,0
8053672813593,8053672813593,0BV4154B__5437,BV4154B,0BV4154B,,Bvlgari,Eyewear,OPTICAL,Luxury-Fashion,,DIVAS,FEMALE,Cat Eye,54,,,DEMO LENS,Black,Acetate,Global,,,,201707,,0,,0,0
889652275475,889652275475,0YS000221__4402J1,YS000221,0YS000221,,Saint Laurent,Eyewear,SUN,Luxury-Fashion,,,UNISEX,Oval,49,,0,Solid Color,Tortoise,Acetate,Global,,,,201911,,0,,0,0
889652275345,889652275345,0YS000224__1330A1,YS000224,0YS000224,,Saint Laurent,Eyewear,SUN,Luxury-Fashion,,,FEMALE,Cat Eye,54,,0,Solid Color,Black,Acetate,Global,,,,201911,,0,,0,0
889652275321,889652275321,0YS000220__4240L1,YS000220,0YS000220,,Saint Laurent,Eyewear,SUN,Luxury-Fashion,,,UNISEX,Pilot,60,,0,Solid Color,Silver,Metal,Global,,,,201911,,0,,0,0
889652275369,889652275369,0YS000220__1220A1,YS000220,0YS000220,,Saint Laurent,Eyewear,SUN,Luxury-Fashion,,,UNISEX,Pilot,60,,0,Solid Color,Matte Black,Metal,Global,,,,201911,,0,,0,0
889652275420,889652275420,0YS000221__1330A1,YS000221,0YS000221,,Saint Laurent,Eyewear,SUN,Luxury-Fashion,,,UNISEX,Oval,49,,0,Solid Color,Black,Acetate,Global,,,,201911,,0,,0,0
