# ----------------------------------------
# Alle websitegegevens
# Gebruikers-verkenner
# 20190101-20190408
# ----------------------------------------

Klant-ID,Sessies,Gem. sessieduur,Bouncepercentage,Opbrengst,Transacties,Doelconversieratio
1681907545.1550736771,6,00:12:30,"50,00%","US$ 0,00",0,"0,00%"
1921475688.1540915010,6,00:01:26,"16,67%","US$ 0,00",0,"0,00%"
2029590314.1546519386,6,00:01:42,"0,00%","US$ 0,00",0,"0,00%"
2124897839.1552306555,6,00:00:49,"0,00%","US$ 0,00",0,"0,00%"
22477814.1547393545,6,00:05:57,"16,67%","US$ 0,00",0,"0,00%"
289594437.1540810567,6,00:00:06,"16,67%","US$ 0,00",0,"0,00%"
343963208.1545421025,6,00:01:50,"66,67%","US$ 0,00",0,"0,00%"
392944262.1552042195,6,00:02:29,"16,67%","US$ 0,00",0,"0,00%"
859168094.1551359686,6,00:07:44,"50,00%","US$ 0,00",0,"0,00%"
886532087.1541764212,6,00:00:11,"66,67%","US$ 0,00",0,"0,00%"
1102053697.1552990260,5,00:07:38,"20,00%","US$ 0,00",0,"0,00%"
1108622734.1549544676,5,00:01:42,"40,00%","US$ 0,00",0,"0,00%"
1182514690.1553019742,5,00:00:00,"100,00%","US$ 0,00",0,"0,00%"
1265559492.1551212720,5,00:00:00,"100,00%","US$ 0,00",0,"0,00%"
1313866917.1553081459,5,00:00:46,"60,00%","US$ 0,00",0,"0,00%"
1382308034.1547472967,5,00:01:12,"80,00%","US$ 0,00",0,"0,00%"
1525308640.1546617338,5,00:00:10,"60,00%","US$ 0,00",0,"0,00%"
1541552763.1552902202,5,00:16:36,"0,00%","US$ 0,00",0,"0,00%"
1697644018.1549661258,5,00:00:26,"60,00%","US$ 0,00",0,"0,00%"
1747269027.1549649483,5,00:00:30,"60,00%","US$ 0,00",0,"0,00%"
1765329834.1548081168,5,00:00:50,"40,00%","US$ 0,00",0,"0,00%"
1774825455.1541778034,5,00:04:09,"0,00%","US$ 0,00",0,"0,00%"
180000312.1553856701,5,00:00:36,"60,00%","US$ 0,00",0,"0,00%"
18915105.1553633638,5,00:00:00,"100,00%","US$ 0,00",0,"0,00%"
1982768338.1546946193,5,00:03:29,"0,00%","US$ 0,00",0,"0,00%"
1993001717.1547468358,5,00:00:09,"80,00%","US$ 0,00",0,"0,00%"
